@RELATION overallSatisfaction

@ATTRIBUTE roomType {PrivateRoom,EntireHome,SharedRoom}
@ATTRIBUTE neighborhood {LesCorts,SantsMontjuic,CiutatVella,SantMarti,Gracia,Horta,Sarria,Eixample,SantAndreu,NouBarris}
@ATTRIBUTE reviews {27,13,11,9,10,67,6,4,5,20,8,28,17,15,69,12,35,37,3,41,38,60,54,56,85,7,88,93,19,33,23,16,105,48,50,31,14,80,40,29,55,53,66,76,32,44,73,39,205,239,63,21,151,25,30,42,18,77,43,22,26,125,65,250,72,91,68,46,143,78,36,34,59,120,47,147,131,24,96,51,82,115,45,150,49,52,57,87,135,102,126,75,176,98,83,175,177,103,108,169,107,64,119,81,124,71,149,90,86,89,123,127,74,62,111,58,112,144,128,130,61,113,181,157,146,99,230,106,122,94,70,84,158,136,79,117,142,104,114,97,139,207,118,121,140,164,100,129,191,92,189,171,110,217,152,132,160,95,174,198,173,116,333,137,168,234,206,138,213,101,170,141,184,178,172,145,255,256,244,216,180,193,134,237,224,221,238,195,165,185,109,186,166,163,318,268,240,215,283,360,154,162,272,155,182,156,200,280,202,227,226,246,229,190,285,187,201,148,153,219,320,203,211,210,167,133,232,241,161,222,183,196,159,199,235,194,265,236,214,218,326,259,208,209,179,386,349,405,253,233,231,287,243,188,212,242,314,271,220,276,249,245,247,251,339,252,260,204,340,324,270,376,254,309,457,192,345}
@ATTRIBUTE overallSatisfaction {1,2,3,4,5,6,7,8,9,10}
@ATTRIBUTE accommodates {10,12,2,16,8,6,4,1,3,5,9,7,14,11,13,15}
@ATTRIBUTE bedrooms {1,4,2,3,0,6,5,9,7,8,10}
@ATTRIBUTE price {264,129,72,64,45,60,289,193,133,144,114,84,100,66,55,61,47,58,57,29,12,19,26,28,35,20,33,41,24,31,27,30,36,38,34,40,22,138,104,543,622,163,48,634,288,231,302,239,204,205,150,176,181,157,178,169,168,167,174,156,134,132,127,143,112,107,119,108,113,121,116,98,102,91,92,83,97,96,67,79,70,69,68,50,53,59,358,481,405,348,324,361,384,480,420,312,454,337,433,379,406,323,336,359,343,403,499,373,331,367,310,311,316,432,457,447,334,505,139,117,106,103,95,88,73,80,25,726,1025,904,940,553,550,579,603,694,362,452,422,515,391,338,217,409,489,419,390,475,451,350,354,380,416,495,318,493,424,413,397,372,479,508,411,469,381,418,503,464,445,327,483,426,477,398,402,42,3606,1918,1605,1443,1343,1082,1044,865,721,901,842,1022,843,961,541,720,539,597,660,602,613,697,661,583,706,565,599,365,389,431,396,216,240,265,294,249,301,215,222,226,228,276,259,269,268,210,305,256,307,235,209,229,267,303,252,251,351,211,282,221,237,218,271,207,246,300,295,232,297,262,254,224,417,476,423,408,309,287,298,250,286,275,304,266,283,281,293,238,278,230,260,261,243,220,233,279,247,225,242,199,203,186,192,187,197,200,195,244,290,194,190,180,151,166,149,161,175,280,202,179,182,184,165,173,164,146,177,153,152,145,201,196,158,172,160,171,185,159,170,148,183,162,155,147,136,126,137,142,130,131,125,140,128,135,118,123,124,111,110,109,115,122,90,82,99,101,85,93,87,94,89,78,77,71,65,81,74,75,63,49,54,46,43,44,490,56,52,32,23,39,141,273,62,16,37,18,13,21,14,10,15}
@ATTRIBUTE latitude {41.392,41.373,41.372,41.388,41.378,41.379,41.408,41.394,41.409,41.387,41.382,41.381,41.399,41.401,41.412,41.39,41.442,41.411,41.421,41.42,41.393,41.391,41.367,41.413,41.41,41.398,41.4,41.374,41.375,41.434,41.376,41.397,41.447,41.377,41.38,41.371,41.415,41.389,41.418,41.359,41.403,41.383,41.384,41.386,41.404,41.396,41.385,41.395,41.414,41.355,41.405,41.422,41.427,41.432,41.406,41.407,41.426,41.352,41.43,41.435,41.402,41.417,41.424,41.366,41.416,41.419,41.363,41.353,41.354,41.429,41.365,41.369,41.37,41.423,41.437,41.443,41.431,41.436,41.433,41.358,41.425,41.361,41.428,41.461,41.368,41.36,41.439,41.444,41.452,41.448,41.445,41.438,41.364,41.446,41.356,41.45,41.44,41.441,41.456,41.357,41.454,41.362,41.46,41.463,41.449,41.462,41.466}
@ATTRIBUTE longitude {2.163,2.17,2.169,2.154,2.149,2.129,2.191,2.202,2.153,2.171,2.176,2.126,2.179,2.189,2.204,2.181,2.18,2.165,2.156,2.175,2.16,2.157,2.158,2.135,2.195,2.155,2.123,2.185,2.143,2.147,2.207,2.134,2.142,2.151,2.183,2.193,2.124,2.166,2.15,2.218,2.173,2.177,2.161,2.137,2.221,2.159,2.172,2.208,2.139,2.215,2.184,2.188,2.182,2.162,2.167,2.152,2.148,2.174,2.186,2.178,2.138,2.164,2.206,2.146,2.144,2.205,2.222,2.136,2.214,2.168,2.117,2.132,2.192,2.213,2.216,2.212,2.196,2.197,2.199,2.2,2.217,2.219,2.211,2.198,2.201,2.095,2.133,2.099,2.125,2.141,2.14,2.111,2.128,2.131,2.145,2.19,2.187,2.108,2.203,2.092,2.21,2.194,2.209,2.113,2.13,2.094,2.12,2.22,2.121,2.106,2.127,2.112,2.101,2.118,2.088,2.103,2.122,2.119,2.11,2.104,2.097,2.114,2.105,2.093,2.102,2.115,2.227,2.096,2.1,2.116}

@DATA
SharedRoom,Eixample,27,9,10,1,264,41.392,2.163
SharedRoom,SantsMontjuic,67,8,16,1,45,41.378,2.129
SharedRoom,SantsMontjuic,8,8,4,1,114,41.373,2.169
SharedRoom,SantsMontjuic,6,8,6,1,114,41.372,2.169
SharedRoom,SantsMontjuic,9,8,6,1,114,41.373,2.171
SharedRoom,Eixample,28,8,4,1,84,41.409,2.176
SharedRoom,Eixample,4,10,1,1,100,41.387,2.17
SharedRoom,CiutatVella,9,8,2,1,61,41.381,2.189
SharedRoom,Eixample,8,10,2,1,57,41.39,2.156
SharedRoom,Horta,3,9,1,1,12,41.411,2.17
SharedRoom,Horta,4,3,1,1,19,41.421,2.16
SharedRoom,Horta,4,2,1,1,26,41.42,2.16
SharedRoom,LesCorts,7,8,4,1,30,41.378,2.123
SharedRoom,Horta,6,7,2,1,26,41.413,2.175
SharedRoom,SantAndreu,4,8,4,1,19,41.434,2.207
SharedRoom,NouBarris,3,10,1,1,12,41.447,2.183
SharedRoom,LesCorts,19,8,3,1,24,41.377,2.124
SharedRoom,SantsMontjuic,8,10,1,1,34,41.373,2.166
SharedRoom,Eixample,17,8,2,1,35,41.378,2.153
SharedRoom,Sarria,14,8,1,1,12,41.399,2.15
SharedRoom,SantMarti,10,9,1,1,30,41.39,2.185
EntireHome,Eixample,5,10,10,4,622,41.389,2.17
EntireHome,Horta,14,9,4,2,163,41.418,2.177
EntireHome,Eixample,10,9,6,3,288,41.403,2.176
EntireHome,SantMarti,32,9,6,2,231,41.413,2.221
EntireHome,Eixample,5,10,4,2,302,41.387,2.159
EntireHome,CiutatVella,7,9,4,2,204,41.383,2.17
EntireHome,SantMarti,6,8,10,4,181,41.41,2.208
EntireHome,SantsMontjuic,10,10,4,1,157,41.379,2.139
EntireHome,Eixample,6,10,5,2,178,41.383,2.163
EntireHome,Eixample,3,8,3,1,169,41.379,2.154
EntireHome,SantMarti,5,8,4,2,168,41.411,2.184
EntireHome,SantsMontjuic,4,10,2,1,169,41.374,2.162
EntireHome,Eixample,63,9,2,1,157,41.391,2.156
EntireHome,CiutatVella,21,8,4,1,168,41.379,2.167
EntireHome,Gracia,16,8,5,2,174,41.404,2.152
EntireHome,CiutatVella,25,9,3,1,134,41.383,2.181
EntireHome,CiutatVella,30,10,4,2,144,41.379,2.176
EntireHome,SantsMontjuic,5,10,3,2,127,41.375,2.123
EntireHome,CiutatVella,18,9,4,1,143,41.381,2.178
EntireHome,SantsMontjuic,43,8,4,1,107,41.359,2.138
EntireHome,Gracia,21,10,3,1,112,41.404,2.162
EntireHome,SantMarti,12,10,5,3,84,41.393,2.186
EntireHome,Gracia,3,10,2,1,50,41.399,2.162
EntireHome,SantsMontjuic,5,10,6,3,48,41.379,2.138
EntireHome,Eixample,32,9,6,3,358,41.396,2.169
EntireHome,CiutatVella,17,8,12,3,481,41.379,2.178
EntireHome,SantsMontjuic,4,8,5,3,361,41.374,2.17
EntireHome,CiutatVella,4,3,7,4,420,41.378,2.177
EntireHome,Eixample,5,9,8,3,406,41.388,2.167
EntireHome,CiutatVella,56,9,8,2,359,41.385,2.167
EntireHome,Eixample,5,10,9,4,312,41.396,2.172
EntireHome,Eixample,11,10,8,4,420,41.387,2.152
EntireHome,Eixample,13,9,11,5,337,41.385,2.16
EntireHome,Eixample,60,9,13,6,337,41.393,2.166
EntireHome,Eixample,6,9,6,3,348,41.393,2.166
EntireHome,Eixample,68,10,6,3,316,41.392,2.17
EntireHome,Eixample,13,9,10,4,384,41.387,2.166
EntireHome,Eixample,5,9,8,3,384,41.39,2.175
EntireHome,CiutatVella,22,10,6,3,447,41.384,2.178
EntireHome,Eixample,7,9,8,5,334,41.4,2.169
EntireHome,Eixample,143,10,6,3,361,41.406,2.173
EntireHome,Eixample,41,9,12,4,361,41.387,2.167
EntireHome,Eixample,9,10,6,3,505,41.392,2.17
EntireHome,Sarria,120,8,12,3,91,41.404,2.144
EntireHome,Sarria,11,10,4,1,95,41.395,2.149
EntireHome,SantMarti,91,7,3,0,96,41.389,2.195
EntireHome,SantMarti,42,8,4,2,84,41.396,2.192
EntireHome,Eixample,47,9,6,2,88,41.378,2.159
EntireHome,Sarria,147,8,10,3,98,41.405,2.143
EntireHome,Eixample,18,10,8,5,543,41.392,2.161
EntireHome,Eixample,40,9,16,6,550,41.387,2.163
EntireHome,CiutatVella,3,6,8,3,409,41.377,2.177
EntireHome,Eixample,24,10,10,5,489,41.387,2.165
EntireHome,SantMarti,9,9,6,2,361,41.392,2.191
EntireHome,Eixample,88,9,16,6,337,41.399,2.18
EntireHome,SantMarti,22,10,6,3,343,41.407,2.215
EntireHome,SantMarti,3,9,10,4,354,41.387,2.199
EntireHome,SantMarti,4,9,8,3,416,41.404,2.213
EntireHome,SantMarti,4,10,6,2,380,41.407,2.213
EntireHome,SantMarti,32,8,8,4,318,41.408,2.217
EntireHome,Eixample,50,9,13,5,359,41.386,2.162
EntireHome,SantMarti,7,9,8,3,413,41.406,2.213
EntireHome,Eixample,66,9,16,6,361,41.392,2.177
EntireHome,Eixample,14,9,7,3,451,41.388,2.167
