@RELATION overall_satisfaction

@ATTRIBUTE room_type {PrivateRoom,EntireHome,SharedRoom}
@ATTRIBUTE neighborhood {LesCorts,SantsMontjuic,CiutatVella,SantMarti,Gracia,Horta,Sarria,Eixample,SantAndreu,NouBarris}
@ATTRIBUTE reviews NUMERIC
@ATTRIBUTE overall_satisfaction NUMERIC
@ATTRIBUTE accommodates NUMERIC
@ATTRIBUTE bedrooms NUMERIC
@ATTRIBUTE price NUMERIC
@ATTRIBUTE latitude NUMERIC
@ATTRIBUTE longitude NUMERIC

@DATA
PrivateRoom,Eixample,8,9.0,4,1.0,30.0,41.397,2.185
EntireHome,Horta,79,9.0,10,4.0,121.0,41.422,2.163
EntireHome,Eixample,15,9.0,6,2.0,220.0,41.405,2.175
PrivateRoom,SantsMontjuic,12,10.0,2,1.0,54.0,41.374,2.162
EntireHome,Eixample,88,9.0,8,4.0,108.0,41.375,2.159
PrivateRoom,Sarria,4,10.0,2,1.0,72.0,41.4,2.145
PrivateRoom,Eixample,22,10.0,2,1.0,60.0,41.402,2.176
EntireHome,CiutatVella,6,8.0,9,4.0,361.0,41.38,2.18
PrivateRoom,SantMarti,30,9.0,3,3.0,36.0,41.399,2.204
PrivateRoom,CiutatVella,9,9.0,2,1.0,72.0,41.381,2.178
PrivateRoom,Sarria,6,10.0,1,1.0,31.0,41.401,2.138
PrivateRoom,Gracia,175,9.0,2,1.0,35.0,41.411,2.147
EntireHome,Eixample,8,8.0,6,3.0,195.0,41.384,2.162
PrivateRoom,Eixample,27,8.0,2,1.0,36.0,41.397,2.17
EntireHome,Eixample,4,8.0,4,2.0,117.0,41.389,2.15
EntireHome,Eixample,101,9.0,5,3.0,102.0,41.399,2.171
EntireHome,Gracia,9,10.0,2,1.0,121.0,41.401,2.16
EntireHome,Eixample,28,9.0,2,1.0,85.0,41.383,2.154
EntireHome,SantsMontjuic,12,8.0,10,3.0,256.0,41.376,2.144
EntireHome,SantMarti,22,9.0,4,1.0,132.0,41.402,2.207
EntireHome,SantsMontjuic,13,9.0,2,1.0,78.0,41.364,2.139
PrivateRoom,Horta,34,9.0,1,1.0,36.0,41.433,2.147
PrivateRoom,Gracia,15,10.0,1,1.0,28.0,41.404,2.157
PrivateRoom,CiutatVella,93,10.0,2,1.0,48.0,41.387,2.178
PrivateRoom,CiutatVella,18,9.0,2,1.0,34.0,41.378,2.167
EntireHome,Eixample,191,10.0,6,2.0,108.0,41.381,2.157
EntireHome,SantMarti,38,10.0,5,2.0,84.0,41.401,2.206
PrivateRoom,CiutatVella,18,10.0,2,1.0,31.0,41.386,2.171
EntireHome,SantAndreu,22,9.0,7,4.0,164.0,41.437,2.187
PrivateRoom,Horta,60,9.0,2,1.0,42.0,41.417,2.157
EntireHome,Eixample,49,9.0,8,3.0,265.0,41.388,2.168
EntireHome,Eixample,5,8.0,5,2.0,180.0,41.394,2.157
PrivateRoom,Eixample,16,10.0,2,1.0,36.0,41.387,2.145
EntireHome,Eixample,61,9.0,6,3.0,118.0,41.385,2.161
EntireHome,Eixample,4,8.0,4,2.0,121.0,41.383,2.162
EntireHome,Eixample,55,9.0,6,3.0,180.0,41.403,2.177
PrivateRoom,Eixample,10,9.0,1,1.0,53.0,41.409,2.176
PrivateRoom,SantMarti,111,9.0,2,1.0,21.0,41.416,2.213
EntireHome,CiutatVella,39,9.0,4,2.0,176.0,41.381,2.172
EntireHome,Eixample,250,10.0,2,1.0,69.0,41.398,2.175
PrivateRoom,Eixample,54,10.0,2,1.0,72.0,41.4,2.184
PrivateRoom,Eixample,15,10.0,1,1.0,28.0,41.381,2.158
